NO_OF_FRAMES	2000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2026-01-20, 10:34:28
DATA_INCLUDED	Angle
DATA_TYPES	left_q1_YZ	left_q1_XZ	left_q1_XY

Frame	Time	left_q1_YZ	left_q1_XZ	left_q1_XY	
637	6.36000	12.623	0.602	77.362
638	6.37000	12.287	0.194	77.711
639	6.38000	11.979	-0.203	78.019
640	6.39000	11.704	-0.743	78.272
641	6.40000	11.398	-1.220	78.535
642	6.41000	11.109	-1.670	78.763
643	6.42000	10.816	-2.080	78.981
644	6.43000	10.519	-2.460	79.191
645	6.44000	10.227	-2.792	79.390
646	6.45000	9.940	-3.038	79.597
647	6.46000	9.668	-3.186	79.811
648	6.47000	9.400	-3.254	80.043
649	6.48000	9.156	-3.278	80.265
650	6.49000	8.904	-3.301	80.494
651	6.50000	8.676	-3.315	80.703
652	6.51000	8.460	-3.338	80.897
653	6.52000	8.264	-3.353	81.073
654	6.53000	8.089	-3.361	81.232
655	6.54000	7.946	-3.370	81.360
656	6.55000	7.832	-3.378	81.462
657	6.56000	7.745	-3.385	81.539
658	6.57000	7.679	-3.392	81.597
659	6.58000	7.628	-3.399	81.641
660	6.59000	7.580	-3.402	81.684
661	6.60000	7.549	-3.407	81.710
662	6.61000	7.540	-3.401	81.720
663	6.62000	7.548	-3.409	81.709
664	6.63000	7.572	-3.413	81.686
665	6.64000	7.603	-3.426	81.653
666	6.65000	7.635	-3.426	81.623
667	6.66000	7.661	-3.425	81.600
668	6.67000	7.687	-3.428	81.575
669	6.68000	7.706	-3.428	81.558
670	6.69000	7.720	-3.426	81.545
671	6.70000	7.719	-3.421	81.549
672	6.71000	7.700	-3.415	81.568
673	6.72000	7.674	-3.401	81.598
674	6.73000	7.639	-3.390	81.635
675	6.74000	7.600	-3.371	81.678
